,Text,Pass,Expected,Anna,Amrutha,Amrutha_enc,Anna_enc,positive_sentiment,negative_sentiment,text_length
298,"Being confined to a hospital bed is no joke. I recently underwent an intense kidney surgery due to infection, and the journey to recovery is tougher than I anticipated. I'm trying to use this time constructively by prepping for my grad school entrance exams, but it's a tremendous strain on me, both physically and mentally. My only consolation is that my diligence will eventually bear fruit.
",syntactic_data,Trauma,,,,,58.72,41.28,66
299,"The routine kicks off early in the morning, just as the world begins to stir. Colleagues and I arrive promptly at dawn to guide the day's operations. The task at hand is challenging, particularly given our limited manpower, but it's a challenge that I relish. We find ourselves deep in the thick of it, working tirelessly to prepare our massive, sprawling facility for the day ahead. Despite the immense scale of the operation, there's an unspoken beauty in rolling up your sleeves and getting stuck in the trenches.",syntactic_data,Physical Labor,,,,,71.05,28.95,88
300,I once found myself in a phase where the spiritual beliefs that used to guide me seemed to lose their significance. It was emotionally draining and seemed like a dark tunnel with no visible end.,syntactic_data,Loss of faith,,,,,48.43,51.57,35
301,"During a particularly challenging time in my life, I felt as though the divine connection I had always relied on was no longer there for me. The comfort and peace I derived from my spiritual practices seemed to have evaporated, leaving me feeling lost and adrift.",syntactic_data,Loss of faith,,,,,74.25,25.75,46
302,"There was a time when I questioned every religious teaching I had ever been given, the doctrines that had once given my life direction and purpose suddenly felt hollow and unconvincing.",syntactic_data,Loss of faith,,,,,0,100,31
303,"I remember feeling as though my spiritual anchor had slipped from the seabed and I was adrift in a vast, unknown sea. The familiar touchstones were no longer there; I had to face the chilling wind of uncertainty alone.",syntactic_data,Loss of faith,,,,,16.24,83.76,39
304,"This profound sense of disconnect from my spiritual roots was both disorienting and distressing to me. I felt like I was wandering in a desert, yearning for the oasis of spiritual comfort that was once so integral to my life.",syntactic_data,Loss of faith,,,,,70.64,29.36,40
305,"There came a time when the religious tenets I had once held dear seemed to carry no weight or resonance. It was as if I were looking at the world through a new lens, one devoid of the spiritual clarity I had once cherished.",syntactic_data,Loss of faith,,,,,79.66,20.34,44
306,"For a while, I found myself in a spiritual wilderness, devoid of the beliefs that had once provided me solace. I felt like a boat without a compass, navigating through life’s stormy seas with no guiding star.",syntactic_data,Loss of faith,,,,,53.24,46.76,37
307,It was a disturbing phase of my life where the religious principles I had always leaned on no longer provided support. I felt as though I was walking a tightrope with no safety net beneath me.,syntactic_data,Loss of faith,,,,,41.67,58.33,36
308,"I went through a period where the serenity and guidance I used to derive from my faith seemed to have evaporated. It felt like stumbling blindfolded through an uncharted territory, hoping to find my way back to clarity and peace.",syntactic_data,Loss of faith,,,,,100,0,40
309,"There was a phase when the spiritual compass that had once guided me seemed to fail. I felt disoriented, like a ship in a foggy sea, unable to see the lighthouse that had always directed me to the safe shore.",syntactic_data,Loss of faith,,,,,47.33,52.67,40
